n,time_serial,time_vectorized,speedup_time,cycles_serial,cycles_vector,speedup_cycles,pass
1024,0.000017,0.000118,0.15,34588,235539,0.15,PASS
2048,0.000035,0.000235,0.15,68948,469832,0.15,PASS
4096,0.000069,0.000468,0.15,137037,935633,0.15,PASS
8192,0.000137,0.000935,0.15,273129,1869177,0.15,PASS
16384,0.000273,0.001869,0.15,544879,3737677,0.15,PASS
32768,0.000546,0.003738,0.15,1092036,7474349,0.15,PASS
65536,0.001090,0.007518,0.15,2179328,15033438,0.14,PASS
131072,0.001950,0.015041,0.13,3898518,30079906,0.13,PASS
262144,0.004221,0.030044,0.14,8440054,60084694,0.14,PASS
524288,0.008663,0.060171,0.14,17321663,120339201,0.14,PASS
1048576,0.017270,0.120032,0.14,34535419,240059837,0.14,PASS
